,rssi,rssiVals
0,-117,0
1,-114,0
2,-118,0
3,-125,0
4,-117,0
5,-118,0
6,-118,0
7,-116,0
8,-119,0
9,-118,0
10,-116,0
11,-118,0
12,-127,0
13,-119,0
14,-116,0
15,-122,0
16,-119,0
17,-121,0
18,-126,0
19,-117,0
20,-115,0
21,-119,0
22,-116,0
23,-118,0
24,-124,0
25,-125,0
26,-121,0
27,-119,0
28,-125,0
29,-116,0
30,-121,0
31,-121,0
32,-119,0
33,-122,0
34,-122,0
35,-122,0
36,-122,0
37,-121,0
38,-121,0
39,-121,0
40,-125,0
41,-125,0
42,-122,0
43,-121,0
44,-117,0
45,-125,0
46,-119,0
47,-117,0
48,-119,0
49,-122,0
50,-125,0
51,-119,0
52,-119,0
53,-119,0
54,-121,0
55,-121,0
56,-121,0
57,-119,0
58,-125,0
59,-122,0
60,-117,0
61,-121,0
62,-116,0
63,-124,0
64,-118,0
65,-125,0
66,-122,0
67,-117,0
68,-119,0
69,-125,0
70,-117,0
71,-127,0
72,-119,0
73,-123,0
74,-116,0
75,-118,0
76,-118,0
77,-119,0
78,-121,0
79,-125,0
80,-119,0
81,-125,0
82,-125,0
83,-118,0
84,-118,0
85,-118,0
86,-124,0
87,-119,0
88,-121,0
89,-125,0
90,-122,0
91,-121,0
92,-119,0
93,-122,0
94,-122,0
95,-121,0
96,-118,0
97,-124,0
98,-121,0
99,-121,0
100,-122,0
101,-125,0
102,-118,0
103,-121,0
104,-121,0
105,-122,0
106,-124,0
107,-119,0
108,-121,0
109,-115,0
110,-124,0
111,-122,0
112,-116,0
113,-122,0
114,-121,0
115,-119,0
116,-124,0
117,-124,0
118,-118,0
119,-119,0
120,-119,0
121,-119,0
122,-121,0
123,-118,0
124,-124,0
125,-119,0
126,-125,0
127,-125,0
128,-121,0
129,-122,0
130,-119,0
131,-125,0
132,-122,0
133,-116,0
134,-119,0
135,-124,0
136,-122,0
137,-122,0
138,-122,1
139,-97,1
140,-97,1
141,-97,1
142,-97,1
143,-97,1
144,-97,1
145,-96,1
146,-97,1
147,-97,1
148,-97,1
149,-98,1
150,-97,1
151,-98,1
152,-97,1
153,-98,1
154,-98,1
155,-97,1
156,-97,1
157,-97,1
158,-97,0
159,-117,0
160,-124,0
161,-124,0
162,-119,0
163,-121,0
164,-122,0
165,-118,0
166,-124,0
167,-127,0
168,-119,0
169,-125,0
170,-117,0
171,-124,0
172,-118,0
173,-125,0
174,-125,0
175,-125,0
176,-122,0
177,-122,0
178,-124,0
179,-122,0
180,-121,0
181,-124,0
182,-122,0
183,-119,0
184,-121,0
185,-122,0
186,-125,0
187,-122,0
188,-127,0
189,-125,0
190,-125,0
191,-121,0
192,-124,0
193,-118,0
194,-124,0
195,-119,0
196,-119,0
197,-122,0
198,-125,0
199,-121,0
200,-125,0
201,-124,0
202,-125,0
203,-124,0
204,-125,0
205,-119,0
206,-121,0
207,-122,0
208,-125,0
209,-126,0
210,-124,0
211,-122,0
212,-122,0
213,-122,0
214,-127,0
215,-121,0
216,-122,0
217,-124,0
218,-125,0
219,-121,0
220,-121,0
221,-118,0
222,-125,0
223,-121,0
224,-118,0
225,-121,0
226,-125,0
227,-121,0
228,-127,0
229,-125,0
230,-116,0
231,-119,0
232,-122,0
233,-122,0
234,-121,0
235,-119,0
236,-127,0
237,-119,0
238,-122,0
239,-124,0
240,-127,0
241,-125,0
242,-124,0
243,-124,0
244,-127,0
245,-122,0
246,-122,0
247,-119,0
248,-124,0
249,-121,0
250,-125,0
251,-127,0
252,-119,0
253,-125,0
254,-125,0
255,-127,0
256,-119,0
257,-117,0
258,-124,0
259,-121,0
260,-124,0
261,-122,0
262,-121,0
263,-126,0
264,-124,0
265,-122,0
266,-122,0
267,-119,0
268,-125,0
269,-119,0
270,-119,0
271,-122,0
272,-124,0
273,-127,0
274,-119,0
275,-121,0
276,-121,1
277,-98,1
278,-98,1
279,-98,1
280,-98,1
281,-98,1
282,-98,1
283,-98,1
284,-98,1
285,-98,1
286,-98,1
287,-98,1
288,-98,1
289,-98,1
290,-98,1
291,-99,1
292,-98,1
293,-98,1
294,-98,1
295,-98,1
296,-98,0
297,-122,0
298,-125,0
299,-125,0
300,-119,0
301,-125,0
302,-127,0
303,-121,0
304,-124,0
305,-125,0
306,-118,0
307,-121,0
308,-119,0
309,-121,0
310,-119,0
311,-124,0
312,-121,0
313,-122,0
314,-121,0
315,-127,0
316,-125,0
317,-124,0
318,-121,0
319,-125,0
320,-124,0
321,-125,0
322,-127,0
323,-121,0
324,-126,0
325,-124,0
326,-127,0
327,-119,0
328,-122,0
329,-124,0
330,-122,0
331,-121,0
332,-119,0
333,-121,0
334,-126,0
335,-119,0
336,-122,0
337,-124,0
338,-121,0
339,-122,0
340,-125,0
341,-125,0
342,-122,0
343,-127,0
344,-124,0
345,-119,0
346,-121,0
347,-122,0
348,-119,0
349,-123,0
350,-125,0
351,-125,0
352,-125,0
353,-118,0
354,-116,0
355,-127,0
356,-122,0
357,-122,0
358,-122,0
359,-125,0
360,-125,0
361,-122,0
362,-127,0
363,-119,0
364,-127,0
365,-125,0
366,-124,0
367,-122,0
368,-125,0
369,-121,0
370,-119,0
371,-119,0
372,-125,0
373,-125,0
374,-122,0
375,-119,0
376,-118,0
377,-124,0
378,-121,0
379,-126,0
380,-127,0
381,-127,0
382,-124,0
383,-118,0
384,-122,0
385,-124,0
386,-122,0
387,-125,0
388,-121,0
389,-127,0
390,-121,0
391,-121,0
392,-127,0
393,-124,0
394,-125,0
395,-125,0
396,-124,0
397,-122,0
398,-122,0
399,-126,0
400,-127,0
401,-117,0
402,-124,0
403,-124,0
